mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand
8.74687606336945e-06,0.0021168644452880716,0.0261,0.9000000000000021,13.05,13.05,0.02665476817597372,0.003403586289043951
8.395707813272681e-06,0.0020706493053877376,0.0258,0.9000000000000012,12.9,12.9,0.025436832479151412,0.003412994664026849
6.244015448957045e-06,0.001808401907995497,0.026504,0.9,13.252,13.252,0.026569138296846356,0.003375119717346339
8.330681690198637e-06,0.002064715966440911,0.026172,0.8999999999999997,13.086,13.086,0.026570470784578692,0.0033905884057271168
5.917640975361902e-06,0.0017557359026674389,0.026472,0.8999999999999992,13.236,13.236,0.026218668384415982,0.003375200199595979
5.165044893166468e-06,0.0016054575294702023,0.02618,0.8999999999999995,13.09,13.09,0.02658827432007168,0.003396342886576366
6.92567354670342e-06,0.0018843855931861553,0.025496,0.8999999999999984,12.748,12.748,0.025941079429424762,0.0034424833602948873
7.437414331615229e-06,0.0018882187087661715,0.025644,0.9000000000000008,12.822,12.822,0.02624773556875236,0.003424559963300094
6.217950460206672e-06,0.0018100350973279244,0.026276,0.8999999999999997,13.138,13.138,0.027169671895312626,0.003386829884668936
5.036553012130883e-06,0.0016341489973617565,0.027528,0.9000000000000007,13.764,13.764,0.02813389767766264,0.0033200537621427594
6.69123370398912e-06,0.0017980307655694528,0.026572,0.8999999999999997,13.286,13.286,0.027285947621455277,0.0033753772605451867
7.149677844554943e-06,0.0019264776882285256,0.027392,0.9000000000000007,13.696,13.696,0.026879060420873947,0.00332484245599633
5.69757017020897e-06,0.0017781995848186428,0.026892,0.8999999999999997,13.446,13.446,0.027289399197810774,0.003352890519995815
6.462922022405821e-06,0.0018195690169122134,0.025968,0.9000000000000015,12.984,12.984,0.026478672893726334,0.003408028909224071
1.0518424735729413e-05,0.0022805635051708394,0.027428,0.8999999999999977,13.714,13.714,0.027632983503096096,0.003327506418459409
1.0705483390058374e-05,0.0023353820746765115,0.02646,0.8999999999999997,13.23,13.23,0.025971167355753475,0.003383095508285647
8.977525244288703e-06,0.002153265524963722,0.025948,0.8999999999999992,12.974,12.974,0.025967988493556672,0.0034145077303200776
8.725158532423161e-06,0.0020450264867563493,0.026616,0.9000000000000019,13.308,13.308,0.026528178877470554,0.0033729386483810995
5.853914898973631e-06,0.0017801420090763854,0.0263,0.899999999999999,13.15,13.15,0.026234337913162167,0.0033805361727471004
9.384714046128591e-06,0.002138847025069549,0.02578,0.9000000000000002,12.89,12.89,0.026681439654572765,0.003419570063822424
6.833891095998e-06,0.0019018941940322726,0.026248,0.899999999999999,13.124,13.124,0.026619606136537348,0.003384270549130389
6.2620401882915335e-06,0.0018140838655271133,0.025352,0.8999999999999986,12.676,12.676,0.025144748637236675,0.0034461613991034275
9.057250854022833e-06,0.0021507858068098118,0.025368,0.9000000000000025,12.684,12.684,0.025586774126153258,0.0034462016402282475
8.496758152284972e-06,0.0021117993180664327,0.02586,0.9000000000000001,12.93,12.93,0.026394827798174224,0.0034152401187918006
7.897981001362492e-06,0.0020249882413165008,0.025708,0.9000000000000007,12.854,12.854,0.0257145495102228,0.003415988603713451
1.0908468275774712e-05,0.0023398008450721077,0.025552,0.8999999999999984,12.776,12.776,0.025229744343898745,0.003426555923091162
6.847410015547302e-06,0.0018510387350830053,0.0263,0.9000000000000009,13.15,13.15,0.026200416596381088,0.003391216167274307
5.106788205955886e-06,0.0016461307302044032,0.025928,0.8999999999999996,12.964,12.964,0.02611332900264365,0.0034078518482748626
6.294790112768548e-06,0.0018124060853516042,0.02518,0.9000000000000009,12.59,12.59,0.025070742056102043,0.003453332367546337
6.179027864476721e-06,0.0017537103144765575,0.025288,0.9000000000000011,12.644,12.644,0.025232470662700852,0.003451658336753829
5.706164435963637e-06,0.0017641310441792622,0.026484,0.9000000000000006,13.242,13.242,0.02620454534267374,0.0033765442531649647
8.535887470602373e-06,0.0020815903190423714,0.024984,0.900000000000001,12.492,12.492,0.02526366779843023,0.00347351731575601
1.3166077966896696e-05,0.002557875995607193,0.024944,0.8999999999999996,12.472,12.472,0.025693486396141975,0.0034685435127282675
6.188055534364586e-06,0.0017515101721786732,0.0248,0.8999999999999994,12.4,12.4,0.025817776815298298,0.0034785876974833202
6.52255989509074e-06,0.0018197069972086708,0.025788,0.8999999999999978,12.894,12.894,0.025651071611207416,0.0034175177664566075
1.1419031007646802e-05,0.0023710581701225017,0.025576,0.8999999999999996,12.788,12.788,0.026393878175942426,0.003428664558031726
7.341130968580167e-06,0.0019164391951119266,0.025156,0.899999999999999,12.578,12.578,0.025378945962879203,0.0034595858383433533
1.0207827870002527e-05,0.002279440595386037,0.025796,0.900000000000001,12.898,12.898,0.02581702130031286,0.0034153688903912236
1.0014068886312938e-05,0.0022771903399435344,0.02566,0.9,12.83,12.83,0.025397722609084513,0.003416004700163379
8.150655141239757e-06,0.0020637725530925697,0.025352,0.8999999999999979,12.676,12.676,0.02503771914418279,0.0034472157165737097
9.628093545464845e-06,0.002259724240114578,0.024904,0.8999999999999989,12.452,12.452,0.025381449891655507,0.0034707245816935073
9.10163626312282e-06,0.0022183273007586146,0.024428,0.9000000000000001,12.214,12.214,0.02404832812119544,0.003502716275925344
7.930012118634296e-06,0.0020543661486757616,0.024328,0.8999999999999992,12.164,12.164,0.02309292086615393,0.0034978229551472424
7.214296943890337e-06,0.0018801960186304123,0.02472,0.8999999999999998,12.36,12.36,0.02444746767672985,0.00348468825200602
7.070784960542873e-06,0.001881063629457197,0.02478,0.8999999999999997,12.39,12.39,0.025185445228347193,0.0034824267007911402
6.410742467870189e-06,0.0018309594161026491,0.024732,0.9000000000000016,12.366,12.366,0.024899183275424765,0.003483022269438475
7.2729766282187725e-06,0.001911120275340466,0.023856,0.9000000000000001,11.928,11.928,0.023730732491409185,0.003542176722923759
7.074841806407209e-06,0.0018772805415590214,0.024528,0.900000000000001,12.264,12.264,0.02503631740156771,0.0034976137012981785
8.143250394684338e-06,0.0020459203495325033,0.025072,0.9000000000000004,12.536,12.536,0.025996639152588614,0.003462652212054631
6.3565614123268984e-06,0.0018109109063934256,0.024768,0.9000000000000022,12.384,12.384,0.024759908868618133,0.003479529339804106
6.098970212975171e-06,0.001789496365600618,0.024524,0.9000000000000004,12.262,12.262,0.02505216376991983,0.0035007847019339886
6.668018729829838e-06,0.0018602775846670013,0.024464,0.900000000000001,12.232,12.232,0.02493861413949301,0.0035003822906857895
9.80798852733109e-06,0.0022530945764909194,0.024248,0.8999999999999975,12.124,12.124,0.024561840483752494,0.0035174767205092914
5.729391298978949e-06,0.0017091377982679122,0.024144,0.900000000000002,12.072,12.072,0.024319447471343035,0.0035240601685298306
1.0856032481049465e-05,0.0023727940483644224,0.024624,0.9000000000000001,12.312,12.312,0.02450678582669218,0.0035046558981416645
5.535311843957038e-06,0.0016726405967286962,0.025136,0.8999999999999988,12.568,12.568,0.025410321566296613,0.0034575576856524294
1.0789515608826257e-05,0.002359363091325168,0.02382,0.8999999999999998,11.91,11.91,0.023296548445221076,0.0035425710859469943
7.113099761243147e-06,0.001810624902010894,0.024024,0.9000000000000014,12.012,12.012,0.023392925150324182,0.003531601355321084
9.460428996997591e-06,0.0021372879504114343,0.024508,0.9000000000000012,12.254,12.254,0.025410161756105134,0.003504406403167781
7.76342079490543e-06,0.001922324112360143,0.0241,0.9000000000000008,12.05,12.05,0.024350021349433836,0.0035215571705660316
6.307279805394741e-06,0.0018080297617401506,0.024044,0.8999999999999989,12.022,12.022,0.023658246243507947,0.003529516865055412
6.322256243968006e-06,0.0018623629199641441,0.024664,0.9000000000000012,12.332,12.332,0.025453837832456347,0.0034888008949626155
7.095005595495952e-06,0.0019019494131506996,0.0254,0.9000000000000007,12.7,12.7,0.0258987585616083,0.0034442861626868197
7.385585714808047e-06,0.0019893091821874165,0.025148,0.8999999999999997,12.574,12.574,0.025568923771930117,0.003449107049440246
8.40134732451781e-06,0.002119899511341616,0.025296,0.8999999999999997,12.648,12.648,0.024889072602726613,0.003441630248448704
4.682641055487783e-06,0.001515787694238966,0.025056,0.8999999999999995,12.528,12.528,0.024551265923283286,0.0034705636171942274
7.411018608959803e-06,0.001992511509614,0.025776,0.9000000000000001,12.888,12.888,0.026049646105128114,0.0034149745273679894
1.235019759891167e-05,0.0024923999694224704,0.02512,0.9000000000000007,12.56,12.56,0.02554755272667162,0.003462121029207008
6.8977810689180285e-06,0.0018771570614098398,0.025292,0.9000000000000002,12.646,12.646,0.024607114062797086,0.0034522136642763436
1.0020995219426954e-05,0.0022771173177519016,0.02506,0.8999999999999988,12.53,12.53,0.024135745423742926,0.003461444978310034
9.284657509097484e-06,0.0021405687257217035,0.0255,0.8999999999999997,12.75,12.75,0.025860407994562976,0.0034385638747374265
6.22537310012849e-06,0.0017245248845237972,0.025456,0.9000000000000011,12.728,12.728,0.02532814076787017,0.003435062896878093
5.4095544612935635e-06,0.0016669486942907767,0.024956,0.8999999999999986,12.478,12.478,0.025870879430674898,0.0034664670706875595
8.21502468333526e-06,0.001954205202752803,0.025476,0.9000000000000026,12.738,12.738,0.02539654628635783,0.003437099097793981
7.235066493651126e-06,0.001877926073634866,0.025644,0.9,12.822,12.822,0.02500005398034647,0.0034287289438314373
2.1779648502937046e-05,0.0033379039347954088,0.025864,0.9000000000000001,12.932,12.932,0.0271030553691233,0.003412865892427425
8.415997820478057e-06,0.002115365406216413,0.026156,0.9,13.078,13.078,0.02640659559109397,0.0034028699970221564
1.1305978643752504e-05,0.002408347667453346,0.026832,0.900000000000001,13.416,13.416,0.02642354555814861,0.0033638441541717972
7.308278648486687e-06,0.0019701808039226947,0.025368,0.9000000000000008,12.684,12.684,0.026621388883660405,0.0034478676227957922
5.720777228363325e-06,0.001667232136298004,0.025648,0.9000000000000008,12.824,12.824,0.02607996276636577,0.003423932201752903
5.30641690216311e-06,0.0015992632621184232,0.025384,0.8999999999999994,12.692,12.692,0.02539825263366976,0.0034416946342484163
8.750717311544587e-06,0.002084396643422307,0.025404,0.899999999999999,12.702,12.702,0.026179295828796578,0.00345208489267692
6.792263427667706e-06,0.0018776051656308487,0.025436,0.9000000000000015,12.718,12.718,0.025326419874555302,0.0034355055492511126
8.20561375021801e-06,0.0020470932811541276,0.025628,0.8999999999999988,12.814,12.814,0.025908684095416606,0.003431537774343868
6.414367887094938e-06,0.0017111851010784258,0.02498,0.9000000000000012,12.49,12.49,0.025268369921389776,0.003468390596453952
5.619476901862923e-06,0.0016754277584257607,0.024588,0.9000000000000014,12.294,12.294,0.0244332792090589,0.003500535206960105
8.688663738906883e-06,0.002088881302332857,0.02578,0.9000000000000001,12.89,12.89,0.026064943263127936,0.0034232561508559284
6.548188739308631e-06,0.0017747613294380239,0.02504,0.9000000000000026,12.52,12.52,0.025091091935738146,0.0034658393091403688
7.454713682119059e-06,0.001901810837101295,0.025876,0.8999999999999994,12.938,12.938,0.02599419368956854,0.0034146284536945375
5.900578597448147e-06,0.0017359379671416325,0.026268,0.9000000000000005,13.134,13.134,0.026676989067614464,0.003388568301261157
6.275048588755841e-06,0.0017598107469581977,0.026568,0.9000000000000007,13.284,13.284,0.025421145411667494,0.0033745402451489325
6.467807921204799e-06,0.0018190861937063885,0.02636,0.9000000000000011,13.18,13.18,0.026162525448141793,0.003385397300625347
6.957475730903316e-06,0.00188577843583249,0.026872,0.8999999999999994,13.436,13.436,0.026872931505159535,0.0033571882721265827
6.123163969053307e-06,0.0017617187922563146,0.026864,0.9000000000000001,13.432,13.432,0.027059836050663498,0.003354878431561919
6.479299796387343e-06,0.0018500108910390338,0.027536,0.9000000000000008,13.768,13.768,0.02793797685769572,0.0033263555222895597
9.915089093448692e-06,0.0022904131242104885,0.026112,0.8999999999999996,13.056,13.056,0.027025144410297484,0.0033987654022905244
5.294062981521305e-06,0.0016126535445550607,0.026784,0.900000000000001,13.392,13.392,0.026551778002961667,0.0033549428173616307
9.148174303313464e-06,0.0021295873371140867,0.026404,0.9000000000000019,13.202,13.202,0.02689051873928389,0.003380141809723866
7.965336610178571e-06,0.0018891006872736133,0.026972,0.9000000000000008,13.486,13.486,0.027130642395620685,0.003360399513887212
6.485900175036672e-06,0.0018857257182568136,0.026892,0.8999999999999994,13.446,13.446,0.026835073678365545,0.003354258718239692
