mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
,,0.1007,0.8999999999999999,10.07,10.07,0.09820782265786496,0.012470624613481756,,,0.1034,0.8999999999999987,10.34,10.34,0.7538021943096314,0.025464852607709743
,,0.0975,0.8999999999999999,9.75,9.75,0.10265642006948361,0.012749948464234178,,,0.1086,0.8999999999999985,10.86,10.86,0.7279385800474035,0.024017728303442586
,,0.0902,0.8999999999999999,9.02,9.02,0.08862099235490137,0.0133879612451041,,,0.1062,0.8999999999999972,10.62,10.62,0.7199252936605878,0.02419294990723562
,,0.0992,0.8999999999999987,9.92,9.92,0.09903396918557045,0.012717996289424861,,,0.1074,0.9000000000000034,10.74,10.74,0.7342711260474418,0.02207379921665636
,,0.0982,0.8999999999999987,9.82,9.82,0.09904834990612431,0.01271799628942486,,,0.1026,0.8999999999999948,10.26,10.26,0.731170431477707,0.02655122655122655
,,0.0983,0.9000000000000019,9.83,9.83,0.09718896714525338,0.012682951968666251,,,0.1054,0.8999999999999967,10.54,10.54,0.7218188886077903,0.02202020202020202
,,0.0957,0.8999999999999997,9.57,9.57,0.09216854111835264,0.012776747062461348,,,0.0998,0.9000000000000021,9.98,9.98,0.7142302459808181,0.023048855905998766
,,0.1003,0.8999999999999984,10.03,10.03,0.09799263181984155,0.012398474541331686,,,0.0998,0.9000000000000007,9.98,9.98,0.7242097499164062,0.02563182848897136
,,0.0989,0.9000000000000015,9.89,9.89,0.10219101803291122,0.012635539064110494,,,0.1018,0.8999999999999955,10.18,10.18,0.7008475635617579,0.02251906823335395
,,0.0956,0.899999999999998,9.56,9.56,0.09725734737343963,0.012901463615749328,,,0.1026,0.8999999999999947,10.26,10.26,0.6847224882960177,0.026072974644403203
