mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand
3.481558936224407e-05,0.00365220612530986,0.0639,0.9000000000000006,6.39,6.39,0.06368340575214936,0.0169150690579262
4.249309904046233e-05,0.004347770856952854,0.0624,0.8999999999999988,6.24,6.24,0.06195608453854869,0.017026386312100593
4.036416576711426e-05,0.004065477821287886,0.066,0.9000000000000014,6.6,6.6,0.07273178890845759,0.01650278293135436
5.6519392959634916e-05,0.0050623867202226275,0.0639,0.9000000000000021,6.39,6.39,0.06611853291190695,0.016959389816532673
6.675528166706987e-05,0.005315889496580798,0.067,0.899999999999999,6.7,6.7,0.0723384661141091,0.016381158524015664
4.3913878057727965e-05,0.004322682333838832,0.0628,0.9000000000000006,6.28,6.28,0.06713986106960602,0.01713873428159142
3.999503413770427e-05,0.0041981736899783855,0.0618,0.8999999999999997,6.18,6.18,0.058919147790791104,0.017649969078540505
4.158297937190251e-05,0.0038273353029081346,0.0656,0.8999999999999999,6.56,6.56,0.06446570732710838,0.016667697381983097
4.517377414824339e-05,0.004106073744070876,0.064,0.8999999999999988,6.4,6.4,0.06083775834097382,0.016720263863121004
6.937972000631285e-05,0.004939307764084778,0.0643,0.8999999999999995,6.43,6.43,0.06455879695993812,0.01680169037311894
7.529195946057063e-05,0.005287000213850093,0.0599,0.900000000000003,5.99,5.99,0.05979035676247401,0.017338693052978766
5.586421749879778e-05,0.005094834563227152,0.0608,0.9000000000000021,6.08,6.08,0.06553210779066748,0.017627293341579055
4.2500086985459366e-05,0.004297928634950391,0.0651,0.9000000000000012,6.51,6.51,0.06586179969463113,0.01678416821273964
5.453628714220733e-05,0.0050253446259488944,0.0661,0.900000000000002,6.61,6.61,0.06387653456436822,0.01670068027210884
6.5213556305384e-05,0.004753514281355807,0.0612,0.9,6.12,6.12,0.06421217969066804,0.01702020202020202
4.972370645638048e-05,0.004684217729915205,0.0637,0.9000000000000031,6.37,6.37,0.06326550731307248,0.017220160791589362
5.651794383602449e-05,0.004755636111938305,0.0606,0.8999999999999978,6.06,6.06,0.060958310547789295,0.017738610595753452
2.882112131828795e-05,0.0035422578030746103,0.0613,0.9000000000000014,6.13,6.13,0.06741449260038078,0.017450010307153166
6.104440997230087e-05,0.00548452809360604,0.065,0.8999999999999999,6.5,6.5,0.06612939555196654,0.01693774479488765
4.678543872785157e-05,0.004091087893445242,0.0607,0.9000000000000001,6.07,6.07,0.06244794823229757,0.018015873015873013
5.62754584074102e-05,0.004968994530850807,0.0624,0.8999999999999997,6.24,6.24,0.06947678112901302,0.016973819830962685
0.00014383326891283173,0.007306648083226098,0.0657,0.8999999999999992,6.57,6.57,0.06949159961267658,0.0166398680684395
6.672148600743707e-05,0.005160634098483345,0.0611,0.8999999999999999,6.11,6.11,0.06399081669438579,0.01725005153576582
4.9617401300338516e-05,0.0046323543265170295,0.0657,0.9000000000000015,6.57,6.57,0.06673455311516116,0.016466707895279323
5.503952726303322e-05,0.004583661395279802,0.0697,0.9,6.97,6.97,0.07309466109296278,0.015868893011750155
5.8439309163722645e-05,0.004965816525038865,0.0719,0.8999999999999997,7.19,7.19,0.0729023498770855,0.015338074623788906
4.544836779072444e-05,0.00428347135314583,0.0622,0.9000000000000022,6.22,6.22,0.06631775901710904,0.017359307359307356
5.5291105502200193e-05,0.004572787516545678,0.0625,0.8999999999999978,6.25,6.25,0.0600575147939914,0.017007833436404867
4.655448014702843e-05,0.00425520660528852,0.0673,0.8999999999999986,6.73,6.73,0.07123915182618822,0.01647392290249433
2.6542248316098448e-05,0.003572017253767095,0.0657,0.8999999999999996,6.57,6.57,0.07408191641504272,0.016584209441352298
4.199577491407339e-05,0.0039870201419153145,0.0674,0.900000000000001,6.74,6.74,0.06671667115438053,0.016171923314780456
4.028808141326297e-05,0.004663016156467451,0.0654,0.9000000000000002,6.54,6.54,0.061250351557364836,0.016703772418058135
5.171083510789525e-05,0.004543274509513944,0.0661,0.8999999999999995,6.61,6.61,0.067244763908642,0.016772830344258916
4.2186810868623175e-05,0.004249764080120317,0.0621,0.8999999999999981,6.21,6.21,0.07034162501393654,0.01750876108018965
5.0442404458929994e-05,0.004383051363712692,0.064,0.899999999999999,6.4,6.4,0.0674125461542025,0.01712533498247784
4.773874658064617e-05,0.004339992386035998,0.0717,0.9000000000000009,7.17,7.17,0.0625601869259015,0.015580292723149864
6.320592426399592e-05,0.004700168731263901,0.06,0.9000000000000024,6.0,6.0,0.06013943738866339,0.018122036693465262
4.192392777853276e-05,0.003707157940655519,0.0678,0.9000000000000009,6.78,6.78,0.06962919352801297,0.016120387548958975
4.942080478899518e-05,0.004207264986247957,0.065,0.8999999999999995,6.5,6.5,0.062373283596086695,0.016822304679447533
4.829607510040571e-05,0.004438367577932335,0.066,0.9000000000000009,6.6,6.6,0.062423534431324305,0.01660688517831375
2.9726225340862895e-05,0.0035483500513951985,0.0668,0.8999999999999989,6.68,6.68,0.06739730247044623,0.016296639868068438
3.3883218270225706e-05,0.003756228049888701,0.0629,0.9000000000000004,6.29,6.29,0.0635372529319707,0.01715625644197073
5.777697400231351e-05,0.005071522047095357,0.0692,0.900000000000001,6.92,6.92,0.07221882811284015,0.016052360338074625
6.303898072518851e-05,0.004746212444381602,0.0659,0.9000000000000021,6.59,6.59,0.06802958865150228,0.0167305710162853
7.036176254510157e-05,0.005176691047338572,0.0676,0.9000000000000005,6.76,6.76,0.06967311488796496,0.016368789940218512
4.9930854145363045e-05,0.004283580385222858,0.0708,0.8999999999999967,7.08,7.08,0.0708049969567097,0.015533910533910534
5.2953401443249e-05,0.0047958134745371105,0.0653,0.8999999999999997,6.53,6.53,0.06698753018123554,0.016542980828695115
4.483198238744011e-05,0.004007712578975754,0.066,0.8999999999999997,6.6,6.6,0.07349573543595796,0.016680065965780252
5.0142011906434506e-05,0.004644970612988725,0.0654,0.9000000000000012,6.54,6.54,0.06383942829978245,0.01668625025767883
4.750531432305038e-05,0.004602362178832719,0.0632,0.9,6.32,6.32,0.05478837320889591,0.016790352504638218
