mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg,mse_dens,mae_dens,dens_dens,spec_rad_dens,av_in_degree_dens,av_out_degree_dens,clustering_coeff_dens,av_betweenness_dens
3.562155506959524e-05,0.0036588463824283775,0.0971,0.9000000000000006,9.71,9.71,0.1001802212834522,0.012804576376004947,3.2176812937318405e-05,0.0034587878153706547,0.99,0.900000000000001,99.0,99.0,1.0,0.0,2.8222824985533753e-05,0.003516425877363486,0.9792,0.8999999999999996,97.92,97.92,0.9890868773034669,0.00011131725417439707
2.8596023677097035e-05,0.003204447759952152,0.0972,0.8999999999999994,9.72,9.72,0.10130871483467298,0.01281385281385281,2.9499799622860246e-05,0.0033451359829603433,0.99,0.9000000000000006,99.0,99.0,1.0,0.0,2.3753260761981785e-05,0.0029025388722171554,0.9797,0.8999999999999994,97.97,97.97,0.9895686931934924,0.000106163677592249
2.346405269899126e-05,0.003001486261364483,0.0991,0.8999999999999985,9.91,9.91,0.09992738839373687,0.012551020408163267,2.3997121394692568e-05,0.0029446495014766884,0.8014,0.8999999999999994,80.14,80.14,0.919737146492291,0.0021418264275407124,2.3350604624334484e-05,0.002944911701602041,0.798,0.9000000000000001,79.8,79.8,0.8061955508218055,0.0019789734075448357
1.7343412106690525e-05,0.002476424900122829,0.0999,0.8999999999999972,9.99,9.99,0.09949250812955375,0.01258812615955473,2.206789166948028e-05,0.002916975213586894,0.3226,0.8999999999999968,32.26,32.26,0.5842112182463675,0.10794269222840651,2.3817905086836498e-05,0.0031681153439338298,0.3193,0.9000000000000009,31.93,31.93,0.326686300059363,0.00691300762729334
2.963442062662116e-05,0.003349783557085871,0.0996,0.8999999999999984,9.96,9.96,0.10102624474671186,0.012599464028035457,3.480434022630935e-05,0.0037156040442122215,0.0648,0.8999999999999976,6.48,6.48,0.31389907595806776,0.28384869099154814,2.1704286584161398e-05,0.003049374846759359,0.0624,0.9000000000000012,6.24,6.24,0.06394007952746032,0.01766439909297052
2.9903442675645392e-05,0.00333875083790569,0.1,0.8999999999999991,10.0,10.0,0.1004890633083105,0.01253968253968254,2.5609070417489932e-05,0.0032224084556983544,0.2166,0.8999999999999982,21.66,21.66,0.47783454351600385,0.16211915069057922,2.2619281506017215e-05,0.0028656548011131455,0.2072,0.9000000000000009,20.72,20.72,0.20985903162451983,0.008163265306122448
3.38684204223523e-05,0.0038014561534275306,0.0985,0.8999999999999994,9.85,9.85,0.10283612201463548,0.012625231910946198,3.422730715389404e-05,0.003909095662283188,0.652,0.8999999999999979,65.2,65.2,0.8335881740893778,0.013718820861678001,2.3720847276873495e-05,0.002962400958049178,0.6392,0.9000000000000015,63.92,63.92,0.6467866987230003,0.0036157493300350446
3.495989222017314e-05,0.0034750783411956567,0.0971,0.8999999999999977,9.71,9.71,0.09539218466386201,0.012904555761698617,2.9639496780579654e-05,0.0034547022873916435,0.99,0.8999999999999986,99.0,99.0,1.0,0.0,2.8932662653581113e-05,0.0034577893694932495,0.9804,0.9000000000000007,98.04,98.04,0.9903135898479283,9.894867037724183e-05
2.4470199437121936e-05,0.003073785683370711,0.0986,0.9000000000000016,9.86,9.86,0.10191517868901774,0.012683982683982681,2.698680415701673e-05,0.003135347994759123,0.99,0.9000000000000027,99.0,99.0,1.0,0.0,2.131195252891589e-05,0.0029564644019456393,0.9818,0.8999999999999986,98.18,98.18,0.9917022796698685,8.451865594722741e-05
2.1542809659156656e-05,0.002906953102504492,0.1021,0.9000000000000005,10.21,10.21,0.10352346869015144,0.012489177489177487,3.31963399738971e-05,0.0035958862842515728,0.99,0.900000000000001,99.0,99.0,1.0,0.0,2.1570117210074063e-05,0.002801598280383572,0.9822,0.9000000000000001,98.22,98.22,0.9921262272438045,8.039579468150894e-05
