mse_rand,mae_rand,dens_rand,spec_rad_rand,av_in_degree_rand,av_out_degree_rand,clustering_coeff_rand,av_betweenness_rand,mse_vg,mae_vg,dens_vg,spec_rad_vg,av_in_degree_vg,av_out_degree_vg,clustering_coeff_vg,av_betweenness_vg
6.327193304649201e-05,0.005220344108339945,0.1072,0.8999999999999986,5.36,5.36,0.1255763611387829,0.031352040816326525,0.00016376058507873662,0.007727656120817916,0.1232,0.8999999999999992,6.16,6.16,0.7751440781440782,0.03579931972789116
6.804561924113778e-05,0.005010711511723419,0.0944,0.9000000000000007,4.72,4.72,0.10206787656787658,0.03351190476190476,0.00010950847118187487,0.007270713955050687,0.1192,0.9000000000000004,5.96,5.96,0.7376862026862027,0.04297619047619048
0.00012947286656342738,0.007125332841717703,0.1024,0.9000000000000015,5.12,5.12,0.10245148396812785,0.0314030612244898,0.00013878190831456057,0.007675328136011775,0.1176,0.9000000000000039,5.88,5.88,0.768086691086691,0.03913265306122448
0.00014108782685487894,0.008891396991227265,0.1016,0.9000000000000007,5.08,5.08,0.10709575874657276,0.032125850340136056,0.00013690158635482893,0.007481898684028891,0.124,0.9000000000000019,6.2,6.2,0.7767902097902097,0.03807823129251701
0.00010430725703362158,0.006994021458082295,0.1024,0.8999999999999988,5.12,5.12,0.09887747076431991,0.031445578231292515,0.0001495342913505272,0.008181227705457398,0.1224,0.900000000000001,6.12,6.12,0.7589588364851523,0.03569727891156462
7.229760378936715e-05,0.005826130347329431,0.106,0.899999999999998,5.3,5.3,0.10837474178361227,0.03102891156462585,0.00013916879713732756,0.007461038208679865,0.1264,0.9000000000000028,6.32,6.32,0.7679857978279031,0.033112244897959185
0.00011119969000145712,0.006725661219123287,0.0868,0.8999999999999978,4.34,4.34,0.08117068961243719,0.034897959183673465,9.645837523278678e-05,0.0067196206031657855,0.1336,0.8999999999999988,6.68,6.68,0.7639000705177176,0.035272108843537396
0.00011868906622019384,0.007586752208612796,0.0984,0.9000000000000005,4.92,4.92,0.09617489014053487,0.033035714285714286,9.85043610504186e-05,0.006348669621514521,0.1408,0.8999999999999968,7.04,7.04,0.7568715340387168,0.03343537414965986
5.454179467454314e-05,0.004576938483679058,0.1004,0.899999999999999,5.02,5.02,0.09161496782634132,0.032593537414965984,0.0001181628269440561,0.0068812510514569365,0.1312,0.8999999999999995,6.56,6.56,0.7960699202758026,0.03574829931972787
8.299001866045608e-05,0.0058576105258436595,0.0988,0.900000000000003,4.94,4.94,0.09276046833919038,0.03240646258503401,7.822033054399083e-05,0.005656734812609453,0.1256,0.9000000000000045,6.28,6.28,0.7414281045751633,0.036156462585034015
0.00012262914980672973,0.006708608738452689,0.0904,0.9000000000000001,4.52,4.52,0.08566935838296601,0.03498299319727891,0.00015501107079182768,0.007665600660051447,0.1232,0.8999999999999961,6.16,6.16,0.7528425757249286,0.039472789115646244
